canonical,jail_type,hierarchy,role,sanctioned,filled
Ambasamuthiram,sub_jail,general,Assistant Jailer,1,1
Ambasamuthiram,sub_jail,general,Chief Head Warder,2,2
Ambasamuthiram,sub_jail,general,Grade I Warder,2,2
Ambasamuthiram,sub_jail,general,Grade II Warder,6,6
Ambur,sub_jail,general,Assistant Jailer,1,1
Ambur,sub_jail,general,Chief Head Warder,2,2
Ambur,sub_jail,general,Grade I Warder,2,2
Ambur,sub_jail,general,Grade II Warder,6,6
Arakkonam,sub_jail,general,Assistant Jailer,1,1
Arakkonam,sub_jail,general,Chief Head Warder,2,2
Arakkonam,sub_jail,general,Grade I Warder,2,2
Arakkonam,sub_jail,general,Grade II Warder,6,6
Arani,sub_jail,general,Assistant Jailer,1,0
Arani,sub_jail,general,Chief Head Warder,2,2
Arani,sub_jail,general,Grade I Warder,2,2
Arani,sub_jail,general,Grade II Warder,6,2
Aranthangi,sub_jail,general,Assistant Jailer,1,1
Aranthangi,sub_jail,general,Chief Head Warder,2,2
Aranthangi,sub_jail,general,Grade I Warder,2,2
Aranthangi,sub_jail,general,Grade II Warder,6,3
Ariyalur,sub_jail,general,Assistant Jailer,1,1
Ariyalur,sub_jail,general,Chief Head Warder,2,2
Ariyalur,sub_jail,general,Grade I Warder,2,2
Ariyalur,sub_jail,general,Grade II Warder,6,6
Aruppukottai,sub_jail,general,Assistant Jailer,1,1
Aruppukottai,sub_jail,general,Chief Head Warder,2,2
Aruppukottai,sub_jail,general,Grade I Warder,2,2
Aruppukottai,sub_jail,general,Grade II Warder,6,6
Avinashi,sub_jail,general,Assistant Jailer,1,1
Avinashi,sub_jail,general,Chief Head Warder,2,2
Avinashi,sub_jail,general,Grade I Warder,2,2
Avinashi,sub_jail,general,Grade II Warder,6,5
Bhavani,sub_jail,general,Assistant Jailer,1,0
Bhavani,sub_jail,general,Chief Head Warder,2,2
Bhavani,sub_jail,general,Grade I Warder,2,2
Bhavani,sub_jail,general,Grade II Warder,6,5
Chengalpattu,district_jail,general,Assistant Jailer,2,2
Chengalpattu,district_jail,general,Chief Head Warder,4,4
Chengalpattu,district_jail,general,Deputy Jailer,1,1
Chengalpattu,district_jail,general,Grade I Warder,3,3
Chengalpattu,district_jail,general,Grade II Warder,12,12
Chengalpattu,district_jail,general,Jailer,1,0
Chengam,sub_jail,general,Assistant Jailer,1,0
Chengam,sub_jail,general,Chief Head Warder,2,2
Chengam,sub_jail,general,Grade I Warder,2,2
Chengam,sub_jail,general,Grade II Warder,6,6
Chennai,spw,women,Assistant Jailer,3,3
Chennai,spw,women,Chief Head Warder,6,6
Chennai,spw,women,Deputy Jailer,1,1
Chennai,spw,women,Grade I Warder,11,11
Chennai,spw,women,Grade II Warder,36,29
Chennai,spw,women,Jailer,1,1
Chennai - I,central_jail,general,Assistant Jailer,10,7
Chennai - I,central_jail,general,Chief Head Warder,18,17
Chennai - I,central_jail,general,Deputy Jailer,3,3
Chennai - I,central_jail,general,Grade I Warder,63,63
Chennai - I,central_jail,general,Grade II Warder,84,79
Chennai - I,central_jail,general,Jailer,2,1
Chennai - II,central_jail,general,Assistant Jailer,13,13
Chennai - II,central_jail,general,Chief Head Warder,15,14
Chennai - II,central_jail,general,Deputy Jailer,2,2
Chennai - II,central_jail,general,Grade I Warder,85,85
Chennai - II,central_jail,general,Grade II Warder,118,116
Chennai - II,central_jail,general,Jailer,3,2
Cheyyar,sub_jail,general,Chief Head Warder,1,1
Cheyyar,sub_jail,general,Grade I Warder,3,3
Cheyyar,sub_jail,general,Grade II Warder,6,5
Chidambaram,sub_jail,general,Assistant Jailer,1,1
Chidambaram,sub_jail,general,Chief Head Warder,2,2
Chidambaram,sub_jail,general,Grade I Warder,2,2
Chidambaram,sub_jail,general,Grade II Warder,6,6
Coimbatore,central_jail,general,Assistant Jailer,14,13
Coimbatore,central_jail,general,Chief Head Warder,34,34
Coimbatore,central_jail,general,Deputy Jailer,3,3
Coimbatore,central_jail,general,Grade I Warder,88,87
Coimbatore,central_jail,general,Grade II Warder,171,148
Coimbatore,central_jail,general,Jailer,2,1
Coimbatore,spw,women,Assistant Jailer,3,3
Coimbatore,spw,women,Chief Head Warder,5,5
Coimbatore,spw,women,Deputy Jailer,1,1
Coimbatore,spw,women,Grade I Warder,3,3
Coimbatore,spw,women,Grade II Warder,16,13
Coimbatore,spw,women,Jailer,1,1
Coonoor,sub_jail,general,Assistant Jailer,1,1
Coonoor,sub_jail,general,Chief Head Warder,2,2
Coonoor,sub_jail,general,Grade I Warder,2,2
Coonoor,sub_jail,general,Grade II Warder,6,3
Cuddalore,central_jail,general,Assistant Jailer,10,10
Cuddalore,central_jail,general,Chief Head Warder,23,23
Cuddalore,central_jail,general,Deputy Jailer,1,1
Cuddalore,central_jail,general,Grade I Warder,71,69
Cuddalore,central_jail,general,Grade II Warder,116,116
Cuddalore,central_jail,general,Jailer,2,2
Cuddalore,sub_jail,general,Assistant Jailer,1,0
Cuddalore,sub_jail,general,Chief Head Warder,2,2
Cuddalore,sub_jail,general,Grade I Warder,4,4
Cuddalore,sub_jail,general,Grade II Warder,8,7
Cuddalore,women_sub_jail,women,Assistant Jailer,1,1
Cuddalore,women_sub_jail,women,Chief Head Warder,2,2
Cuddalore,women_sub_jail,women,Grade I Warder,2,2
Cuddalore,women_sub_jail,women,Grade II Warder,6,6
D.J. Attur,district_jail,general,Assistant Jailer,3,3
D.J. Attur,district_jail,general,Chief Head Warder,5,5
D.J. Attur,district_jail,general,Deputy Jailer,1,1
D.J. Attur,district_jail,general,Grade I Warder,3,3
D.J. Attur,district_jail,general,Grade II Warder,17,0
D.J. Attur,district_jail,general,Jailer,1,0
D.J. Chengalpattu Women Annex,sub_jail,general,Assistant Jailer,1,1
D.J. Chengalpattu Women Annex,sub_jail,general,Chief Head Warder,1,1
D.J. Chengalpattu Women Annex,sub_jail,general,Grade II Warder,1,0
